"cite_key";"title";"author";"abstract";"booktitle";"label"
"DAmbros2007";"\""A BUG'S LIFE\"" VISUALIZING A BUG DATABASE";"M. D'Ambros and M. Lanza and M. Pinzger";"Visualization has long been accepted as a viable means to comprehend large amounts of information. Especially in the context of software evolution a well-designed visualization is crucial to be able to cope with the sheer data that needs to be analyzed. Many approaches have been investigated to visualize evolving systems, but most of them focus on structural data and are useful to answer questions about the structural evolution of a system. In this paper we consider an often neglected type of information, namely the one provided by bug tracking systems, which store data about the problems that various people, from developers to end users, detected and reported. We first briefly introduce the context by reporting on the particularities of the present data, and then propose two visualizations to render bugs as first-level entities.";"2007 4th IEEE International Workshop on Visualizing Software for Understanding and Analysis";"inproceedings"
"Damiani:2006:OSS:1137827";"OPEN SOURCE SYSTEMS: IFIP WORKING GROUP 2.13 FOUNDATION CONFERENCE ON OPEN SOURCE SOFTWARE, JUNE 8-10, 2006, COMO, ITALY (IFIP INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING)";"Damiani, Ernesto and Fitzgerald, Brian and Scacchi, Walt and Scotto, Marco";"";"";"book"
"Davies:2014:WBR:2652524.2652541";"WHAT'S IN A BUG REPORT?";"Davies, Steven and Roper, Marc";"";"Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement";"inproceedings"
"Davies2014a";"COMPARING TEXT-BASED AND DEPENDENCE-BASED APPROACHES FOR DETERMINING THE ORIGINS OF BUGS";"Davies, S. and Roper, M. and Wood, M.";"Identifying bug origins - the point where erroneous code was introduced - is crucial for many software engineering activities, from identifying process weaknesses to gathering data to support bug detection tools. Unfortunately, this information is not usually recorded when fixing bugs, and recovering it later is challenging. Recently, the text approach and the dependence approach have been developed to tackle this problem. Respectively, they examine textual and dependence-related changes that occurred prior to a bug fix. However, only limited evaluation has been carried out, partially because of a lack of available implementations and of datasets linking bugs to origins. To address this, origins of 174 bugs in three projects were manually identified and compared to a simulation of the approaches. Both approaches were partially successful across a variety of bugs - achieving 29-79% precision and 40-70% recall. Results suggested the precise definition of program dependence could affect performance, as could whether the approaches identified a single or multiple origins. Some potential improvements are explored in detail and identify pragmatic strategies for combining techniques along with simple modifications. Even after adopting these improvements, there remain many challenges: large commits, unrelated changes and long periods between origins and fixes all reduce effectiveness. Copyright © 2013 John Wiley & Sons, Ltd.";"";"article"
"DeCastroNetto2016";"AN AUTOMATED APPROACH FOR SCHEDULING BUG FIX TASKS";"De Castro Netto, F. and De Oliveira Barros, M. and Alvim, A.C.F.";"Software projects usually maintain bug repositories where both developers and end users can report and track the resolution of software defects. These defects should be fixed and new versions of the software incorporating the patches that solve them must be released. The project manager must schedule a set of error correction tasks with different priorities in order to minimize the time required to accomplish these tasks and guarantee that the more important issues have been fixed. This problem is recurrent for most software organizations and, given the enormous number of potential schedules, a tool that searches for good schedules may be helpful to project managers. In this work we propose a genetic algorithm using information captured from bug repositories to find near optimal schedules. We evaluated our approach using a subset of the Eclipse bug repository and the results suggested better schedules than the schedule followed by the developers and schedules proposed by a simpler search procedure. © 2016 World Scientific Publishing Company.";"";"article"
"Ding2012";"HEALING ONLINE SERVICE SYSTEMS VIA MINING HISTORICAL ISSUE REPOSITORIES";"R. Ding and Q. Fu and J. G. Lou and Q. Lin and D. Zhang and J. Shen and T. Xie";"Online service systems have been increasingly popular and important nowadays, with an increasing demand on the availability of services provided by these systems, while significant efforts have been made to strive for keeping services up continuously. Therefore, reducing the MTTR (Mean Time to Restore) of a service remains the most important step to assure the user-perceived availability of the service. To reduce the MTTR, a common practice is to restore the service by identifying and applying an appropriate healing action (i.e., a temporary workaround action such as rebooting a SQL machine). However, manually identifying an appropriate healing action for a given new issue (such as service down) is typically time consuming and error prone. To address this challenge, in this paper, we present an automated mining-based approach for suggesting an appropriate healing action for a given new issue. Our approach generates signatures of an issue from its corresponding transaction logs and then retrieves historical issues from a historical issue repository. Finally, our approach suggests an appropriate healing action by adapting healing actions for the retrieved historical issues. We have implemented a healing suggestion system for our approach and applied it to a real-world product online service that serves millions of online customers globally. The studies on 77 incidents (severe issues) over 3 months showed that our approach can effectively provide appropriate healing actions to reduce the MTTR of the service.";"Automated Software Engineering (ASE), 2012 Proceedings of the 27th IEEE/ACM International Conference on";"inproceedings"
"DucAnh:2011:EVH:2020390.2020403";"EMPIRICAL VALIDATION OF HUMAN FACTORS IN PREDICTING ISSUE LEAD TIME IN OPEN SOURCE PROJECTS";"Duc Anh, Nguyen and Cruzes, Daniela S. and Conradi, Reidar and Ayala, Claudia";"";"Proceedings of the 7th International Conference on Predictive Models in Software Engineering";"inproceedings"
"Ebert:2015:ESE:2794082.2794106";"AN EXPLORATORY STUDY ON EXCEPTION HANDLING BUGS IN JAVA PROGRAMS";"Ebert, Felipe and Castor, Fernando and Serebrenik, Alexander";"";"";"article"
"Garcia2013";"THE ROLE OF EMOTIONS IN CONTRIBUTORS ACTIVITY: A CASE STUDY ON THE GENTOO COMMUNITY";"D. Garcia and M. S. Zanetti and F. Schweitzer";"We analyze the relation between the emotions and the activity of contributors in the Open Source Software project GENTOO. Our case study builds on extensive data sets from the project's bug tracking platform BUGZILLA, to quantify the activity of contributors, and its mail archives, to quantify the emotions of contributors by means of sentiment analysis. The GENTOO project is known for a period of centralization within its bug triaging community. This was followed by considerable changes in community organization and performance after the sudden retirement of the central contributor. We analyze how this event correlates with the negative emotions, both in bilateral email discussions with the central contributor, and at the level of the whole community of contributors. We then extend our study to consider the activity patterns of GENTOO contributors in general. We find that contributors are more likely to become inactive when they express strong positive or negative emotions in the bug tracker, or when they deviate from the expected value of emotions in the mailing list. We use these insights to develop a Bayesian classifier that detects the risk of contributors leaving the project. Our analysis opens new perspectives for measuring online contributor motivation by means of sentiment analysis and for real-time predictions of contributor turnover in Open Source Software projects.";"Cloud and Green Computing (CGC), 2013 Third International Conference on";"inproceedings"
"Felderer2015";"USING DEFECT TAXONOMIES FOR TESTING REQUIREMENTS";"M. Felderer and A. Beer";"Systematic defect management based on bug-tracking systems such as Bugzilla is well established and has been successfully used in many software organizations. Defect management weights the failures observed during test execution according to their severity and forms the basis for effective defect taxonomies. In practice, most defect taxonomies are used only for the a posteriori allocation of testing resources to prioritize failures for debugging. Thus, these taxonomies' full potential to control and improve all the steps of testing has remained unexploited. This is especially the case for testing a system's user requirements. System-level defect taxonomies can improve the design of requirements-based tests, the tracing of defects to requirements, the quality assessment of requirements, and the control of the relevant defect management. So, we developed requirements-based testing with defect taxonomies (RTDT). This approach is aligned with the standard test process and uses defect taxonomies to support all phases of testing requirements. To illustrate this approach and its benefits, we use an example project (which we call Project A) from a public health insurance institution.";"";"article"
"Feng2013";"PRACTICAL DUPLICATE BUG REPORTS DETECTION IN A LARGE WEB-BASED DEVELOPMENT COMMUNITY";"Feng, L.a and Song, L.a and Sha, C.b and Gong, X.a ";"Most of large web-based development communities require a bug tracking system to keep track of various bug reports. However, duplicate bug reports tend to result in waste of resources, and may cause potential conflicts. There have been two types of works focusing on this problem: relevant bug report retrieval [8][11][10][13] and duplicate bug report identification [5][12]. The former methods can achieve high accuracy (82%) in the top 10 results in some dataset, but they do not really reduce the workload of developers. The latter methods still need further improvement on the performance. In this paper, we propose a practical duplicate bug reports detection method, which aims to help project team to reduce their workload by combining existing two categories of methods. We also propose some new features extracted from comments, user profiles and query feedback, which are useful for improving the detection performance. Experiments on real dataset show that our method improves the accuracy rate by 23% compared to state-of-the-art work in duplicate bug report identification, and improves the recall rate by up to 8% in relevant bug report retrieval. © 2013 Springer-Verlag.";"";"article"
"Fischer2003";"POPULATING A RELEASE HISTORY DATABASE FROM VERSION CONTROL AND BUG TRACKING SYSTEMS";"M. Fischer and M. Pinzger and H. Gall";"Version control and bug tracking systems contain large amounts of historical information that can give deep insight into the evolution of a software project. Unfortunately, these systems provide only insufficient support for a detailed analysis of software evolution aspects. We address this problem and introduce an approach for populating a release history database that combines version data with bug tracking data and adds missing data not covered by version control systems such as merge points. Then simple queries can be applied to the structured data to obtain meaningful views showing the evolution of a software project. Such views enable more accurate reasoning of evolutionary aspects and facilitate the anticipation of software evolution. We demonstrate our approach on the large open source project Mozilla that offers great opportunities to compare results and validate our approach.";"Software Maintenance, 2003. ICSM 2003. Proceedings. International Conference on";"inproceedings"
"Guo:2011:MBO:1958824.1958887";"\""NOT MY BUG!\"" AND OTHER REASONS FOR SOFTWARE BUG REPORT REASSIGNMENTS";"Guo, Philip J. and Zimmermann, Thomas and Nagappan, Nachiappan and Murphy, Brendan";"";"Proceedings of the ACM 2011 Conference on Computer Supported Cooperative Work";"inproceedings"
"Gegick2010";"IDENTIFYING SECURITY BUG REPORTS VIA TEXT MINING: AN INDUSTRIAL CASE STUDY";"M. Gegick and P. Rotella and T. Xie";"A bug-tracking system such as Bugzilla contains bug reports (BRs) collected from various sources such as development teams, testing teams, and end users. When bug reporters submit bug reports to a bug-tracking system, the bug reporters need to label the bug reports as security bug reports (SBRs) or not, to indicate whether the involved bugs are security problems. These SBRs generally deserve higher priority in bug fixing than not-security bug reports (NSBRs). However, in the bug-reporting process, bug reporters often mislabel SBRs as NSBRs partly due to lack of security domain knowledge. This mislabeling could cause serious damage to software-system stakeholders due to the induced delay of identifying and fixing the involved security bugs. To address this important issue, we developed a new approach that applies text mining on natural-language descriptions of BRs to train a statistical model on already manually-labeled BRs to identify SBRs that are manually-mislabeled as NSBRs. Security engineers can use the model to automate the classification of BRs from large bug databases to reduce the time that they spend on searching for SBRs. We evaluated the model's predictions on a large Cisco software system with over ten million source lines of code. Among a sample of BRs that Cisco bug reporters manually labeled as NSBRs in bug reporting, our model successfully classified a high percentage (78%) of the SBRs as verified by Cisco security engineers, and predicted their classification as SBRs with a probability of at least 0.98.";"2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)";"inproceedings"
"Ghezzi2011a";"SOFAS: A LIGHTWEIGHT ARCHITECTURE FOR SOFTWARE ANALYSIS AS A SERVICE";"Ghezzi, G. and Gall, H.C.";"Access to data stored in software repositories by systems such as version control, bug and issue tracking, or mailing lists is essential for assessing the quality of a software system. A myriad of analyses exploiting that data have been proposed throughout the years: source code analysis, code duplication analysis, co-change analysis, bug prediction, or detection of bug fixing patterns. However, easy and straight forward synergies between these analyses rarely exist. To tackle this problem we have developed SOFA S, a distributed and collaborative software analysis platform to enable a seamless interoperation of such analyses. In particular, software analyses are offered as RESTful web services that can be accessed and composed over the Internet. SOFA S services are accessible through a software analysis catalog where any project stakeholder can, depending on the needs or interests, pick specific analyses, combine them, let them run remotely and then fetch the final results. That way, software developers, testers, architects, or quality assurance experts are given access to quality analysis services. They are shielded from many peculiarities of tool installations and configurations, but SOFA S offers them sophisticated and easy-to-use analyses. This paper describes in detail our SOFAS architecture, its considerations and implementation aspects, and the current set of implemented and offered RESTful analysis services. © 2011 IEEE.";"";"conference"
"Gonzalez-Barahona:2013:UCI:2553372.2553381";"UNDERSTANDING HOW COMPANIES INTERACT WITH FREE SOFTWARE COMMUNITIES";"Gonzalez-Barahona, Jesus and Izquierdo, Daniel and Maffulli, Stefano and Robles, Gregorio";"";"";"article"
"Gonzalez-Barahona2015";"THE METRICSGRIMOIRE DATABASE COLLECTION";"J. M. Gonzalez-Barahona and G. Robles and D. Izquierdo-Cortazar";"The Metrics Grimoire system is composed by a set of tools designed to retrieve data from repositories related to software development. Their aim is to produce organized databases suitable for easy querying with research and industrial purposes. The data in those databases have a similar structure, to easy cross-database studies, and can be enriched with information such as linkage of the multiple identities of actors, or their affiliation. This paper presents the general structure of those databases, and a collection of up-to-date database dumps that are publicly available. They correspond to two well-known projects, Open Stack, and Eclipse, including data from source code management repositories, issue tracking systems, mailing lists, and code review systems.";"2015 IEEE/ACM 12th Working Conference on Mining Software Repositories";"inproceedings"
"Gunderloy2005";"PAINLESS PROJECT MANAGEMENT WITH FOGBUGZ";"Gunderloy, M.";"A very well put together manual about how and why things work the way they do within FogBugz 4.0. - Matt Hawley, eWorld.UI This book is an almost perfect introduction and end user manual for FogBugz version 4. - Dean Wilson, London.pm I recommend this book if you do plan to use FogBugz. - Greg Robinson's Blog & well written and easy to get through & - .farshid sedghi Blog I quickly realized that FogBugz could single-handedly manage my support requests, sales requests, bug tracking and project management for CodeSmith. I bought my copy about a week ago and I could not be more happy with my purchase! - Eric J. Smith's Weblog Many programs purport to help a development team manage a projectbut most of them aren't very good. Enter FogBugz. This dynamic tool is based on keeping track of a database of cases. At any given time, cases are assigned to one person, who must resolve or forward them to someone else. With FogBugz, cases can be prioritized, documented, sorted, discussed, edited, assigned, estimated, searched, and tracked. And because FogBugz is web-based, everyone on a development team has access to the whole picture, at any given moment. That picture may include everything from customer feature requests, to high-level design discussions, to tiny bug fix details. This book (written under the guidance of the entire FogBugz team) completely describes the ins and outs of the latest version of FogBugz. Copyright © 2005 by Mike Gunderloy. All rights reserved.";"";"book"
"Gupta2014a";"PROCESS CUBE FOR SOFTWARE DEFECT RESOLUTION";"Gupta, M. and Sureka, A.";"Online Analytical Processing (OLAP) cube is a multi-dimensional dataset used for analyzing data in a Data Warehouse (DW) for the purpose of extracting actionable intelligence. Process mining consists of analyzing event log data produced from Process Aware Information Systems (PAIS) for the purpose of discovering and improving business processes. Process cube is a concept which falls at the intersection of OLAP cube and process mining. Process cube facilitates process mining from multiple-dimensions and enables comparison of process mining results across various dimensions. We present an application of process cube to software defect resolution process to analyze and compare process data from a multi-dimensional perspective. We present a framework, a novel perspective to mine software repositories using process cube. Each cell of process cube is defined by metrics from multiple process mining perspectives like control flow, time, conformance and organizational perspective. We conduct a case-study on Google Chromium project data in which the software defect resolution process spans three software repositories: Issue Tracking System (ITS), Peer Code Review System (PCR) and Version Control System (VCS). We define process cube with 9 dimensions as issue report timestamp, priority, state, closed status, OS, component, bug type, reporter and owner. We define hierarchies along various dimensions and cluster members to handle sparsity. We apply OLAP cube operations such as slice, dice, roll-up and drill-down, and create materialized sublog for each cell. We demonstrate the solution approach by discovering process map and compare process mining results from control flow and time perspective for Performance and Security issues. © 2014 IEEE.";"";"conference"
"Gupta:2014:PMM:2597073.2597081";"PROCESS MINING MULTIPLE REPOSITORIES FOR SOFTWARE DEFECT RESOLUTION FROM CONTROL AND ORGANIZATIONAL PERSPECTIVE";"Gupta, Monika and Sureka, Ashish and Padmanabhuni, Srinivas";"";"Proceedings of the 11th Working Conference on Mining Software Repositories";"inproceedings"
"Guzzi2013";"COMMUNICATION IN OPEN SOURCE SOFTWARE DEVELOPMENT MAILING LISTS";"A. Guzzi and A. Bacchelli and M. Lanza and M. Pinzger and A. van Deursen";"Open source software (OSS) development teams use electronic means, such as emails, instant messaging, or forums, to conduct open and public discussions. Researchers investigated mailing lists considering them as a hub for project communication. Prior work focused on specific aspects of emails, for example the handling of patches, traceability concerns, or social networks. This led to insights pertaining to the investigated aspects, but not to a comprehensive view of what developers communicate about. Our objective is to increase the understanding of development mailing lists communication. We quantitatively and qualitatively analyzed a sample of 506 email threads from the development mailing list of a major OSS project, Lucene. Our investigation reveals that implementation details are discussed only in about 35% of the threads, and that a range of other topics is discussed. Moreover, core developers participate in less than 75% of the threads. We observed that the development mailing list is not the main player in OSS project communication, as it also includes other channels such as the issue repository.";"Mining Software Repositories (MSR), 2013 10th IEEE Working Conference on";"inproceedings"
"Gyimesi2015";"CHARACTERIZATION OF SOURCE CODE DEFECTS BY DATA MINING CONDUCTED ON GITHUB";"Gyimesi, P. and Gyimesi, G. and Tóth, Z. and Ferenc, R.";"In software systems the coding errors are unavoidable due to the frequent source changes, the tight deadlines and the inaccurate specifications. Therefore, it is important to have tools that help us in finding these errors. One way of supporting bug prediction is to analyze the characteristics of the previous errors and identify the unknown ones based on these characteristics. This paper aims to characterize the known coding errors. Nowadays, the popularity of the source code hosting services like GitHub are increasing rapidly. They provide a variety of services, among which the most important ones are the version and bug tracking systems. Version control systems store all versions of the source code, and bug tracking systems provide a unified interface for reporting errors. Bug reports can be used to identify the wrong and the previously fixed source code parts, thus the bugs can be characterized by static source code metrics or by other quantitatively measured properties using the gathered data. We chose GitHub for the base of data collection and we selected 13 Java projects for analysis. As a result, a database was constructed, which characterizes the bugs of the examined projects, thus can be used, inter alia, to improve the automatic detection of software defects. © Springer International Publishing Switzerland 2015.";"";"article"
"Habayeb2015";"THE FIREFOX TEMPORAL DEFECT DATASET";"M. Habayeb and A. Miranskyy and S. S. Murtaza and L. Buchanan and A. Bener";"The bug tracking repositories of software projects capture initial defect (bug) reports and the history of interactions among developers, testers, and customers. Extracting and mining information from these repositories is time consuming and daunting. Researchers have focused mostly on analyzing the frequency of the occurrence of defects and their attributes (e.g., The number of comments and lines of code changed, count of developers). However, the counting process eliminates information about the temporal alignment of events leading to changes in the attributes count. Software quality teams could plan and prioritize their work more efficiently if they were aware of these temporal sequences and knew their frequency of occurrence. In this paper, we introduce a novel dataset mined from the Fire fox bug repository (Bugzilla) which contains information about the temporal alignment of developer interactions. Our dataset covers eight years of data from the Fire fox project on activities throughout the project's lifecycle. Some of these activities have not been reported in frequency-based or other temporal datasets. The dataset we mined from the Fire fox project contains new activities, such as reporter experience, file exchange events, code-review process activities, and setting of milestones. We believe that this new dataset will improve analysis of bug reports and enable mining of temporal relationships so that practitioners can enhance their bug-fixing process.";"2015 IEEE/ACM 12th Working Conference on Mining Software Repositories";"inproceedings"
"Hamlaoui2014";"HETEROGENEOUS MODELS MATCHING FOR CONSISTENCY MANAGEMENT";"M. El Hamlaoui and S. Ebersold and B. Coulette and M. Nassar and A. Anwar";"This work is situated in the context of the application of Model Driven Engineering to complex systems view-based modelling. In fact, view-based models - called also partial models - are manipulated by different actors (designers), and are thus generally heterogeneous, that is, described with different DSLs (Domain Specific Languages). Instead of building a single global model, which is not realistic, we propose to organize the different partial models as a network of related models, which provides a global view of the system through a correspondence model. As models are modelled separately by different designers, they also evolve separately that induces a problem of consistency. To solve it, we propose a semi-automatic process based on the correspondence model allowing detecting changes, calculating their impacts, and proposing modifications to maintain the consistency among them. The approach is supported by a tool chain and illustrated by the example of a Bug Tracking System.";"2014 IEEE Eighth International Conference on Research Challenges in Information Science (RCIS)";"inproceedings"
"Hanmer:2014:MNP:2893559.2893568";"MINING NEW PATTERNS BY LEARNING FROM THE TRENCHES";"Hanmer, Robert S. and Mirakhorli, Mehdi";"";"Proceedings of the 21st Conference on Pattern Languages of Programs";"inproceedings"
"Hindle2016";"A CONTEXTUAL APPROACH TOWARDS MORE ACCURATE DUPLICATE BUG REPORT DETECTION AND RANKING";"Hindle, A. and Alipour, A. and Stroulia, E.";"The issue-tracking systems used by software projects contain issues, bugs, or tickets written by a wide variety of bug reporters, with different levels of training and knowledge about the system under development. Typically, reporters lack the skills and/or time to search the issue-tracking system for similar issues already reported. As a result, many reports end up referring to the same issue, which effectively makes the bug-report triaging process time consuming and error prone. Many researchers have approached the bug-deduplication problem using off-the-shelf information-retrieval (IR) tools. In this work, we extend the state of the art by investigating how contextual information about software-quality attributes, software-architecture terms, and system-development topics can be exploited to improve bug deduplication. We demonstrate the effectiveness of our contextual bug-deduplication method at ranking duplicates on the bug repositories of the Android, Eclipse, Mozilla, and OpenOffice software systems. Based on this experience, we conclude that taking into account domain-specific context can improve IR methods for bug deduplication. © 2015, Springer Science+Business Media New York.";"";"article"
"Hora2012";"BUG MAPS: A TOOL FOR THE VISUAL EXPLORATION AND ANALYSIS OF BUGS";"A. Hora and N. Anquetil and S. Ducasse and M. Bhatti and C. Couto and M. T. Valente and J. Martins";"To harness the complexity of big legacy software, software engineering tools need more and more information on these systems. This information may come from analysis of the source code, study of execution traces, computing of metrics, etc. One source of information received less attention than source code: the bugs on the system. Little is known about the evolutionary behavior, lifetime, distribution, and stability of bugs. In this paper, we propose to consider bugs as first class entities and a useful source of information that can answer such topics. Such analysis is inherently complex, because bugs are intangible, invisible, and difficult to be traced. Therefore, our tool extracts information about bugs from bug tracking systems, link this information to other software artifacts, and explore interactive visualizations of bugs that we call bug maps.";"Software Maintenance and Reengineering (CSMR), 2012 16th European Conference on";"inproceedings"
"Hosseini:2012:MBA:2191744.2192559";"A MARKET-BASED BUG ALLOCATION MECHANISM USING PREDICTIVE BUG LIFETIMES";"Hosseini, Hadi and Nguyen, Raymond and Godfrey, Michael W.";"";"Proceedings of the 2012 16th European Conference on Software Maintenance and Reengineering";"inproceedings"
"Izquierdo2015";"GILA: GITHUB LABEL ANALYZER";"J. L. C. Izquierdo and V. Cosentino and B. Rolandi and A. Bergel and J. Cabot";"Reporting bugs, asking for new features and in general giving any kind of feedback is a common way to contribute to an Open-Source Software (OSS) project. In GitHub, the largest code hosting service for OSS, this feedback is typically expressed as new issues for the project managed by an issue-tracking system available in each new project repository. Among other features, the issue tracker allows creating and assigning labels to issues with the goal of helping the project community to better classify and manage those issues (e.g., facilitating the identification of issues for top priority components or candidate developers that could solve them). Nevertheless, as the project grows a manual browsing of the project issues is no longer feasible. In this paper we present GiLA, a tool which generates a set of visualizations to facilitate the analysis of issues in a project depending on their label-based categorization. We believe our visualizations are useful to see the most popular labels (and their relationships) in a project, identify the most active community members for those labels and compare the typical issue evolution for each label category.";"2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)";"inproceedings"
"Jalbert2008a";"AUTOMATED DUPLICATE DETECTION FOR BUG TRACKING SYSTEMS";"Jalbert, N. and Weimer, W.";"Bug tracking systems are important tools that guide the maintenance activities of software developers. The utility of these systems is hampered by an excessive number of duplicate bug reports-in some projects as many as a quarter of all reports are duplicates. Developers must manually identify duplicate bug reports, but this identification process is time-consuming and exacerbates the already high cost of software maintenance. We propose a system that automatically classifies duplicate bug reports as they arrive to save developer time. This system uses surface features, textual semantics, and graph clustering to predict duplicate status. Using a dataset of 29,000 bug reports from the Mozilla project, we perform experiments that include a simulation of a real-time bug reporting environment. Our system is able to reduce development cost by filtering out 8% of duplicate bug reports while allowing at least one report for each real defect to reach developers. © 2008 IEEE.";"";"conference"
"Jeong:2009:IBT:1595696.1595715";"IMPROVING BUG TRIAGE WITH BUG TOSSING GRAPHS";"Jeong, Gaeul and Kim, Sunghun and Zimmermann, Thomas";"";"Proceedings of the the 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering";"inproceedings"
"Johnson2003";"ISSUE TRACKING";"J. N. Johnson and P. F. Dubois";"All programming projects have one thing in common: there is always more to do. Some things that need doing are bug fixes; others are enhancements such as cleaning up and refactorlng existing code, adding tests, and writing documentation. but before your office wall becomes a collage of sticky-note reminders, you might want to try an issue tracker instead. In this article, we describe two open-source issue-tracking software packages: Roundup, an implementation of the winning design in Los Alamos National Laboratory's Software Carpentry contest and Bugzilla (from the GNU project).";"";"article"
"Just2008";"TOWARDS THE NEXT GENERATION OF BUG TRACKING SYSTEMS";"S. Just and R. Premraj and T. Zimmermann";"Developers typically rely on the information submitted by end-users to resolve bugs. We conducted a survey on information needs and commonly faced problems with bug reporting among several hundred developers and users of the APACHE, ECLIPSE and MOZILLA projects. In this paper, we present the results of a card sort on the 175 comments sent back to us by the responders of the survey. The card sort revealed several hurdles involved in reporting and resolving bugs, which we present in a collection of recommendations for the design of new bug tracking systems. Such systems could provide contextual assistance, reminders to add information, and most important, assistance to collect and report crucial information to developers.";"2008 IEEE Symposium on Visual Languages and Human-Centric Computing";"inproceedings"
"Lin2009";"AN EMPIRICAL STUDY ON BUG ASSIGNMENT AUTOMATION USING CHINESE BUG DATA";"Z. Lin and F. Shu and Y. Yang and C. Hu and Q. Wang";"Bug assignment is an important step in bug life-cycle management. In large projects, this task would consume a substantial amount of human effort. To compare with the previous studies on automatic bug assignment in FOSS (free/open source software) projects, we conduct a case study on a proprietary software project in China. Our study consists of two experiments of automatic bug assignment, using Chinese text and the other non-text information of bug data respectively. Based on text data of the bug repository, the first experiment uses SVM to predict bug assignments and achieve accuracy close to that by human triagers. The second one explores the usefulness of non-text data in making such prediction. The main results from our study includes that text data are most useful data in the bug tracking system to triage bugs, and automation based on text data could effectively reduce the manual effort.";"2009 3rd International Symposium on Empirical Software Engineering and Measurement";"inproceedings"
"Kaushik2012";"A COMPARATIVE STUDY OF THE PERFORMANCE OF IR MODELS ON DUPLICATE BUG DETECTION";"N. Kaushik and L. Tahvildari";"Open source projects incorporate bug triagers to help with the task of bug report assignment to developers. One of the tasks of a triager is to identify whether an incoming bug report is a duplicate of a pre-existing report. In order to detect duplicate bug reports, a triager either relies on his memory and experience or on the search capabilities of the bug repository. Both these approaches can be time consuming for the triager and may also lead to the misidentification of duplicates. In the literature, several approaches to automate duplicate bug report detection have been proposed. However, there has not been an exhaustive comparison of the performance of different IR models, especially with topic-based ones such as LSI and LDA. In this paper, we compare the performance of the traditional vector space model (using different weighting schemes) with that of topic based models, leveraging heuristics that incorporate exception stack frames, surface features, summary and long description from the free-form text in the bug report. We perform experiments on subsets of bug reports from Eclipse and Firefox and achieve a recall rate of 60% and 58% respectively. We find that word-based models, in particular a Log-Entropy based weighting scheme, outperform topic based ones such as LSI, LDA and Random Projections. Our findings also suggests that for the problem of duplicate bug detection, it is important to consider a project's domain and characteristics to devise a set of heuristics to achieve optimal results.";"Software Maintenance and Reengineering (CSMR), 2012 16th European Conference on";"inproceedings"
"Keivanloo2012";"A LINKED DATA PLATFORM FOR MINING SOFTWARE REPOSITORIES";"I. Keivanloo and C. Forbes and A. Hmood and M. Erfani and C. Neal and G. Peristerakis and J. Rilling";"The mining of software repositories involves the extraction of both basic and value-added information from existing software repositories. The repositories will be mined to extract facts by different stakeholders (e.g. researchers, managers) and for various purposes. To avoid unnecessary pre-processing and analysis steps, sharing and integration of both basic and value-added facts are needed. In this research, we introduce SeCold, an open and collaborative platform for sharing software datasets. SeCold provides the first online software ecosystem Linked Data platform that supports data extraction and on-the-fly inter-dataset integration from major version control, issue tracking, and quality evaluation systems. In its first release, the dataset contains about two billion facts, such as source code statements, software licenses, and code clones from 18 000 software projects. In its second release the SeCold project will contain additional facts mined from issue trackers and versioning systems. Our approach is based on the same fundamental principle as Wikipedia: researchers and tool developers share analysis results obtained from their tools by publishing them as part of the SeCold portal and therefore make them an integrated part of the global knowledge domain. The SeCold project is an official member of the Linked Data dataset cloud and is currently the eighth largest online dataset available on the Web.";"Mining Software Repositories (MSR), 2012 9th IEEE Working Conference on";"inproceedings"
"Ki2009";"AN OPEN SOURCE-BASED APPROACH TO SOFTWARE DEVELOPMENT INFRASTRUCTURES";"Y. Ki and M. Song";"As software systems become larger and more complex, automated software engineering tools play a crucial role for effective software development management, which is a key factor to lead quality software systems. In this work, we present TRICA, an open source-based software development infrastructure. The name of TRICA represents its features such as Traceability, Relationship, Informativeness, Cost-effectiveness, and Automation. Essentially, in TRICA, a continuous integration tool is coupled with a software configuration management tool and an issue tracking tool. We provisioned a mechanism to connect the open source tools in TRICA so that project members use the collaborated information to solve various issues and implementation problems efficiently, and easily share forthcoming issues during the course of the project. We show that TRICA can help to decentralize risks throughout the software development cycle and achieve successful software development.";"Automated Software Engineering, 2009. ASE '09. 24th IEEE/ACM International Conference on";"inproceedings"
"Klein:2014:NFD:2597073.2597090";"NEW FEATURES FOR DUPLICATE BUG DETECTION";"Klein, Nathan and Corley, Christopher S. and Kraft, Nicholas A.";"";"Proceedings of the 11th Working Conference on Mining Software Repositories";"inproceedings"
