Indicação de data e hora,Identificador do Artigo,Título do Artigo,Resumo do Artigo,Palavras Chaves do Artigo,Contribuição do Artigo,Papel suportado pela ferramenta,Representação | Query,Representação | Document,Reasoning (Estratégia),Qual ferramenta estendida ou utilizada pela extensão,O artigo utiliza a base de dados da ferramenta?,A solução proposta virou uma extensão da ferramenta?,O artigo será incluído no Mapeamento,Observações adicionais
08/09/2016 22:33:31,xia2015automatic,"AUTOMATIC, HIGH ACCURACY PREDICTION OF REOPENED BUGS","Bug fixing is one of the most time-consuming and costly activities of the software development life cycle. In general, bugs are reported in a bug tracking system, validated by a triage team, assigned for someone to fix, and finally verified and closed. However, in some cases bugs have to be reopened. Reopened bugs increase software maintenance cost, cause rework for already busy developers and in some cases even delay the future delivery of a software release. Therefore, a few recent studies focused on studying reopened bugs. However, these prior studies did not achieve high performance (in terms of precision and recall), required manual intervention, and used very simplistic techniques when dealing with this textual data, which leads us to believe that further improvements are possible. In this paper, we propose ReopenPredictor, which is an automatic, high accuracy predictor of reopened bugs. ReopenPredictor uses a number of features, including textual features, to achieve high accuracy prediction of reopened bugs. As part of ReopenPredictor, we propose two algorithms that are used to automatically estimate various thresholds to maximize the prediction performance. To examine the benefits of ReopenPredictor, we perform experiments on three large open source projects—namely Eclipse, Apache HTTP and OpenOffice. Our results show that ReopenPredictor outperforms prior work, achieving a reopened F-measure of 0.744, 0.770, and 0.860 for Eclipse, Apache HTTP and OpenOffice, respectively. These results correspond to an improvement in the reopened F-measure of the method proposed in the prior work by Shihab et al. by 33.33, 12.57 and 3.12 % for Eclipse, Apache HTTP and OpenOffice, respectively.","Reopened bugs, Imbalanced feature selection, Imbalanced learning",Prever bugs que serão reabertos,Analista de Qualidade,Stream of characters,Stream of characters,With Learning | Neural network,Bugzilla,Sim,Não,Sim,
08/09/2016 22:41:27,thung2013automatic,AUTOMATIC RECOVERY OF ROOT CAUSES FROM BUG-FIXING CHANGES,"What is the root cause of this failure? This question is often among the first few asked by software debuggers when they try to address issues raised by a bug report. Root cause is the erroneous lines of code that cause a chain of erroneous program states eventually leading to the failure. Bug tracking and source control systems only record the symptoms (e.g., bug reports) and treatments of a bug (e.g., committed changes that fix the bug), but not its root cause. Many treatments contain non-essential changes, which are intermingled with root causes. Reverse engineering the root cause of a bug can help to understand why the bug is introduced and help to detect and prevent other bugs of similar causes. The recovered root causes are also better ground truth for bug detection and localization studies. In this work, we propose a combination of machine learning and code analysis techniques to identify root causes from the changes made to fix bugs. We evaluate the effectiveness of our approach based on a golden set (i.e., ground truth data) of manually recovered root causes of 200 bug reports from three open source projects. Our approach is able to achieve a precision, recall, and F-measure (i.e., the harmonic mean of precision and recall) of 76.42%, 71.88%, and 74.08% respectively. Compared with the work by Kawrykow and Robillard, our approach achieves a 60.83% improvement in F-measure."," F-measure, automatic root cause recovery, bug-fixing changes, reverse engineering, bug detection, bug localization, machine learning, code analysis techniques, bug reports, ",Descobrir a origem do bug,Desenvolvedor,Keyword-basead,Vector space,With Learning | Neural network,JIRA issue tracking system ,Sim,Não,Sim,
13/10/2016 18:23:16,Wong:2014:BBF:2705615.2706096,BOOSTING BUG-REPORT-ORIENTED FAULT LOCALIZATION WITH SEGMENTATION AND STACK-TRACE ANALYSIS,"To   deal   with   post-release   bugs,   many   software
projects set up public bug repositories for users all over the world
to report bugs that they have encountered. Recently, researchers
have proposed various information retrieval based approaches to
localizing faults based on bug reports. In these approaches, source
files are processed as single units, where noise in large files may
affect the accuracy of fault localization. Furthermore, bug reports
often  contain  stack-trace  information,  but  existing  approaches
often treat this information as plain text. In this paper, we propose
to  use  segmentation  and  stack-trace  analysis  to  improve  the
performance of bug localization. Specifically, given a bug report,
we divide each source code file into a series of segments and use
the segment most similar to the bug report to represent the file.
We  also  analyze  the  bug  report  to  identify  possible  faulty  files
in a stack trace and favor these files in our retrieval. According
to  our  empirical  results,  our  approach  is  able  to  significantly
improve BugLocator, a representative fault localization approach,
on all the three software projects (i.e., Eclipse, AspectJ, and SWT)
used in our empirical evaluation. Furthermore, segmentation and
stack-trace analysis are complementary to each other for boosting
the  performance  of  bug-report-oriented  fault  localization.","fault localization, bug report, feature location, information retrieval","In this paper, we propose to  use  segmentation  and  stack-trace  analysis  to  improve  the performance of bug localization",Desenvolvedor,Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
13/10/2016 18:35:12,Bhattacharya:2011:BTP:1985441.1985472,BUG-FIX TIME PREDICTION MODELS: CAN WE DO BETTER?,"Predicting bug-fix time is useful in several areas of software evolution, such as predicting software quality or coordinating development effort during bug triaging. Prior work has proposed bug-fix time prediction models that use various bug report attributes (e.g., number of developers who participated in fixing the bug, bug severity, number of patches, bug-opener's reputation) for estimating the time it will take to fix a newly-reported bug. In this paper we take a step towards constructing more accurate and more general bug-fix time prediction models by showing how existing models fail to validate on large projects widely-used in bug studies. In particular, we used multivariate and univariate regression testing to test the prediction significance of existing models on 512,474 bug reports from five open source projects: Eclipse, Chrome and three products from the Mozilla project (Firefox, Seamonkey and Thunderbird). The results of our regression testing indicate that the predictive power of existing models is between 30% and 49% and that there is a need for more independent variables (attributes) when constructing a prediction model. Additionally, we found that, unlike in prior recent studies on commercial software, in the projects we examined there is no correlation between bug-fix likelihood, bug-opener's reputation and the time it takes to fix a bug. These findings indicate three open research problems: (1) assessing whether prioritizing bugs using bug-opener's reputation is beneficial, (2) identifying attributes which are effective in predicting bug-fix time, and (3) constructing bug-fix time prediction models which can be validated on multiple projects.","Bug report triage, issue tracking, statistical model, bug-fix time",In this paper we take a step towards constructing more accurate and more general bug-fix time prediction models by showing how existing models fail to validate on large projects widely-used in bug studies,Agendador,"Keyword-basead, Atributos",Atributos,With Uncertainty | Probability theories,"Bugzilla, Google Code Bug Tracker",Sim,Não,Sim,
13/10/2016 18:43:49,Thung:2014:BIT:2635868.2661678,BUGLOCALIZER: INTEGRATED TOOL SUPPORT FOR BUG LOCALIZATION,"To manage bugs that appear in a software, developers often make use of a bug tracking system such as Bugzilla. Users can report bugs that they encounter in such a system. Whenever a user reports a new bug report, developers need to read the summary and description of the bug report and manually locate the buggy files based on this information. This manual process is often time consuming and tedious. Thus, a number of past studies have proposed bug localization techniques to automatically recover potentially buggy files from bug reports. Unfortunately, none of these techniques are integrated to bug tracking systems and thus it hinders their adoption by practitioners. To help disseminate research in bug localization to practitioners, we develop a tool named BugLocalizer, which is implemented as a Bugzilla extension and builds upon a recently proposed bug localization technique. Our tool extracts texts from summary and description fields of a bug report and source code files. It then computes similarities of the bug report with source code files to find the buggy files. Developers can use our tool online from a Bugzilla web interface by providing a link to a git source code repository and specifying the version of the repository to be analyzed. We have released our tool publicly in GitHub, which is available at: https://github.com/smagsmu/buglocalizer. We have also provided a demo video, which can be accessed at: http://youtu.be/iWHaLNCUjBY","Bug localization, Bugzilla, git.",Our tool extracts texts from summary and description  fields of a bug report and source code  les.  It then computes similarities of the bug report with source code  les to  nd the buggy les. ,Desenvolvedor,Stream of characters,Stream of characters,With Logic | Algebra,Bugzilla,Sim,Sim,Sim,
13/10/2016 18:53:28,Hora2012,BUG MAPS: A TOOL FOR THE VISUAL EXPLORATION AND ANALYSIS OF BUGS,"To harness the complexity of big legacy software, software engineering tools need more and more information on these systems. This information may come from analysis of the source code, study of execution traces, computing of metrics, etc. One source of information received less attention than source code: the bugs on the system. Little is known about the evolutionary behavior, lifetime, distribution, and stability of bugs. In this paper, we propose to consider bugs as first class entities and a useful source of information that can answer such topics. Such analysis is inherently complex, because bugs are intangible, invisible, and difficult to be traced. Therefore, our tool extracts information about bugs from bug tracking systems, link this information to other software artifacts, and explore interactive visualizations of bugs that we call bug maps.","Computer bugs, Visualization, Software, History, Browsers, Color, Measurement ",Melhorar a visualização das informações de bugs,Todos,N/A,N/A,N/A,"Jira, Bugzilla",Sim,Não,Sim,
13/10/2016 19:04:19,Wu2011a,BUGMINER: SOFTWARE RELIABILITY ANALYSIS VIA DATA MINING OF BUG REPORTS,"Software bugs reported by human users and automatic
error reporting software are often stored in some bug track-
ing tools (e.g., Bugzilla and Debbugs). These accumulated
bug reports may contain valuable information that could
be used to improve the quality of the bug reporting, reduce
the quality assurance effort and cost, analyze software re-
liability, and predict future bug report trend. In this paper,
we present BUGMINER, a tool that is able to derive useful
information from historic bug report database using data
mining, use these information to do completion check and
redundancy check on a new or given bug report, and to es-
timate the bug report trend using statistical analysis. Our
empirical studies of the tool using several real-world bug
report repositories show that it is effective, easy to imple-
ment, and has relatively high accuracy despite low quality
data.",Bug duplication; Bug completation,Bug duplication; Bug completation,Agendador,Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
13/10/2016 19:14:02,Naguib2013,BUG REPORT ASSIGNEE RECOMMENDATION USING ACTIVITY PROFILES,"One question which frequently arises within the context of artifacts stored in a bug tracking repository is: “who should work on this bug report?” A number of approaches exist to semi-automatically identify and recommend developers, e.g. using machine learning techniques and social networking analysis. In this work, we propose a new approach for assignee recommendation leveraging user activities in a bug tracking repository. Within the bug tracking repository, an activity profile is created for each user from the history of all his activities (i.e. review, assign, and resolve). This profile, to some extent, indicates the user's role, expertise, and involvement in this project. These activities influence and contribute to the identification and ranking of suitable assignees. In order to evaluate our work, we apply it to bug reports of three different projects. Our results indicate that the proposed approach is able to achieve an average hit ratio of 88%. Comparing this result to the LDA-SVM - based assignee recommendation technique, it was found that the proposed approach performs better."," bug tracking, Activity profile, bug report, assignee recommendation ","In this work, we propose a new approach for assignee recommendation leveraging user activities in a bug tracking repository. Within the bug tracking repository, an activity profile is created for each user from the history of all his activities (i.e. review, assign, and resolve).",Agendador,N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
20/10/2016 21:45:01,Mani:2013:BRC:2487085.2487124,BUG RESOLUTION CATALYSTS: IDENTIFYING ESSENTIAL NON-COMMITTERS FROM BUG REPOSITORIES,"Bugs are inevitable in software projects. Resolving bugs is the primary activity in software maintenance. Developers, who fix bugs through code changes, are naturally important participants in bug resolution. However, there are other participants in these projects who do not perform any code commits. They can be reporters reporting bugs; people having a deep technical know-how of the software and providing valuable insights on how to solve the bug; bug-tossers who re-assign the bugs to the right set of developers. Even though all of them act on the bugs by tossing and commenting, not all of them may be crucial for bug resolution. In this paper, we formally define essential non- committers and try to identify these bug resolution catalysts. We empirically study 98304 bug reports across 11 open source and 5 commercial software projects for validating the existence of such catalysts. We propose a network analysis based approach to construct a Minimal Essential Graph that identifies such people in a project. Finally, we suggest ways of leveraging this information for bug triaging and bug report summarization. ",N/A,"Identificar o comportamento de pessoas envolvidas em manutenção de software, mas que não realizam modificações em código.",N/A,N/A,N/A,N/A,N/A,Não,Não,Não,Análise o comporatamento de um grupo envolvido na manutenção de software não de uma proposta de ferramenta.
20/10/2016 21:56:36,Singh2011,BUG TRACKING AND RELIABILITY ASSESSMENT SYSTEM (BTRAS),"Tracking  of  a  reported  bug  for  fixing  is  a fascinating area  of  research in  software engineering .  Many  open source,  free  and commercial 
bug  tracking tools have  been developed and are currently under development. The industry needs criteria to select the best tool among the available set of tools that will help in fixing and tracking the progress of  bug  fixes.  In this  paper, we  use BugZilla,  Jira,  Trac,  Mantis, BugTracker.Net,  Gnats and  Fossil  for  comparative  study. We present a comprehensive  classification  criteria to review  the  available  tools and  propose  a  new  tool named  Bug  Tracking  and Reliability Assessment System  (BTRAS) for  the  bug  tracking/reporting and  reliability  assessment. BTRAS helps in  reporting  the bug,  assigning the bug  to  the developer for  fixing, monitoring the  progress of  bug  fixing by  various graphical/charting  facility and  status updates,  providing reliability bug  prediction and  bug  complexity measurements, and distributing fixes to users/developers.","Bug/Issue  tracking  system,  Comparison  of  tools,  Resolution  of  bugs, 
Classification criteria, Machine learning techniques, Reliability assessment",Propor uma nova ferramenta com base nas características das ferramentas existentes.,N/A,N/A,N/A,N/A,N/A,Não,Não,Não,N/A
20/10/2016 22:04:27,Zhang2014,BUTTER: AN APPROACH TO BUG TRIAGE WITH TOPIC MODELING AND HETEROGENEOUS NETWORK ANALYSIS,"When a bug is reported to the bug tracking system, it should be assigned to a developer responsible for its resolution after it is verified. This processing is also called bug triage. With increasing number of bug reports submitted to the bug tracking system, it is more and more difficult to assign appropriate developers to all the reported bugs manually. In this paper, we propose an approach called BUTTER (BUg Triage by topic modeling and heTERogeneous network analysis) to automatically assign bugs to developers. Different from other work, we regard that in most cases, bug resolution is a collaborative activity which involves many developers' participation. Although social network analysis has been introduced to characterize the collaboration of developers, networks constructed by researchers are usually homogenous. That is, all the nodes and links in these networks are regarded as having same properties. Considering developers collaborated on different bugs, we construct a heterogeneous network that includes relationships between submitters, bugs and developers to characterize developers' collaboration. Experiment shows that BUTTER outperforms other methods on automated bug triage."," heterogeneous network, bug triage, topic model ","In this paper, we propose an approach called BUTTER (BUg Triage by topic modeling and heTERogeneous network analysis) to automatically assign bugs to developers. ",Agendador,Keyword-basead,Stream of characters,With Uncertainty | Probability theories,Bugzilla,Sim,Não,Sim,
20/10/2016 22:50:54,Zanetti2013,CATEGORIZING BUGS WITH SOCIAL NETWORKS: A CASE STUDY ON FOUR OPEN SOURCE SOFTWARE COMMUNITIES,"Efficient bug triaging procedures are an important precondition for successful collaborative software engineering projects. Triaging bugs can become a laborious task particularly in open source software (OSS) projects with a large base of comparably inexperienced part-time contributors. In this paper, we propose an efficient and practical method to identify valid bug reports which a) refer to an actual software bug, b) are not duplicates and c) contain enough information to be processed right away. Our classification is based on nine measures to quantify the social embeddedness of bug reporters in the collaboration network. We demonstrate its applicability in a case study, using a comprehensive data set of more than 700,000 bug reports obtained from the Bugzilla installation of four major OSS communities, for a period of more than ten years. For those projects that exhibit the lowest fraction of valid bug reports, we find that the bug reporters' position in the collaboration network is a strong indicator for the quality of bug reports. Based on this finding, we develop an automated classification scheme that can easily be integrated into bug tracking platforms and analyze its performance in the considered OSS communities. A support vector machine (SVM) to identify valid bug reports based on the nine measures yields a precision of up to 90.3% with an associated recall of 38.9%. With this, we significantly improve the results obtained in previous case studies for an automated early identification of bugs that are eventually fixed. Furthermore, our study highlights the potential of using quantitative measures of social organization in collaborative software engineering. It also opens a broad perspective for the integration of social awareness in the design of support infrastructures.",bug triaging ,bug triaging ,Agendador,Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Não,Sim,
20/10/2016 22:52:15,Cavalcanti2014,CHALLENGES AND OPPORTUNITIES FOR SOFTWARE CHANGE REQUEST REPOSITORIES: A SYSTEMATIC MAPPING STUDY,"Software maintenance starts as soon as the first artifacts are delivered and is essential for the success of the software. However, keeping maintenance activities and their related artifacts on track comes at a high cost. In this respect, change request (CR) repositories are fundamental in software maintenance. They facilitate the management of CRs and are also the central point to coordinate activities and communication among stakeholders. However, the benefits of CR repositories do not come without issues, and commonly occurring ones should be dealt with, such as the following: duplicate CRs, the large number of CRs to assign, or poorly described CRs. Such issues have led researchers to an increased interest in investigating CR repositories, by considering different aspects of software development and CR management. In this paper, we performed a systematic mapping study to characterize this research field. We analyzed 142 studies, which we classified in two ways. First, we classified the studies into different topics and grouped them into two dimensions: challenges and opportunities. Second, the challenge topics were classified in accordance with an existing taxonomy for information retrieval models. In addition, we investigated tools and services for CR management, to understand whether and how they addressed the topics identified.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,Não,N/A
20/10/2016 22:57:42,ValdiviaGarcia:2014:CPB:2597073.2597099,CHARACTERIZING AND PREDICTING BLOCKING BUGS IN OPEN SOURCE PROJECTS,"

As software becomes increasingly important, its quality becomes an increasingly important issue. Therefore, prior work focused on software quality and proposed many prediction models to identify the location of software bugs, to estimate their fixing-time, etc. However, one special type of severe bugs is blocking bugs. Blocking bugs are software bugs that prevent other bugs from being fixed. These blocking bugs may increase maintenance costs, reduce overall quality and delay the release of the software systems. In this paper, we study blocking-bugs in six open source projects and propose a model to predict them. Our goal is to help developers identify these blocking bugs early on. We collect the bug reports from the bug tracking systems of the projects, then we obtain 14 different factors related to, for example, the textual description of the bug, the location the bug is found in and the people involved with the bug. Based on these factors we build decision trees for each project to predict whether a bug will be a blocking bug or not. Then, we analyze these decision trees in order to determine which factors best indicate these blocking bugs. Our results show that our prediction models achieve F-measures of 15-42%, which is a two- to four-fold improvement over the baseline random predictors. We also find that the most important factors in determining blocking bugs are the comment text, comment size, the number of developers in the CC list of the bug report and the reporter's experience. Our analysis shows that our models reduce the median time to identify a blocking bug by 3-18 days.","Process Metrics, Code Metrics, Post-release Defects"," Blocking bugs are software bugs that prevent other bugs from being fixed. These blocking bugs may increase maintenance costs, reduce overall quality and delay the release of the software systems. In this paper, we study blocking-bugs in six open source projects and propose a model to predict them. ","Gerente de Requisição de Mudança, Agendador, Desenvolvedor",Decision Trees ,Decision Trees ,Decision Trees ,Ecplipse,Sim,Não,Sim,
20/10/2016 23:50:49,Tong2015,CHARACTERIZING AND PREDICTING BUG ASSIGNMENT IN OPENSTACK,"Open source software is becoming increasingly important in cloud computing. However, many cloud computing systems suffer from software bugs that cause significant dependability issues. Bug assignment and fixing are crucial parts of software maintenance to improve dependability. In this paper, we conduct an empirical study of 42,880 bug reports from OpenStack bug repository. We study the characteristics (e.g., distribution of bugs, distribution of assignees) of bug assignments in OpenStack and find the bug assignment pattern which we call as long tail. The findings can support the follow-up research on improving efficiency of bug assignment, that is, we propose a prediction method based on long tail model, and experimentally evaluate this method by applying it to OpenStack bug assignment."," long tail, open source, cloud computing, bug assignment ","In this paper, we conduct an empirical study of 42,880 bug reports from OpenStack bug repository. We study the characteristics (e.g., distribution of bugs, distribution of assignees) of bug assignments in OpenStack and find the bug assignment pattern which we call as long tail. The findings can support the follow-up research on improving efficiency of bug assignment, that is, we propose a prediction method based on long tail model, and experimentally evaluate this method by applying it to OpenStack bug assignment.",N/A,N/A,N/A,N/A,N/A,Não,Não,Não,N/A
20/10/2016 23:54:53,Davies2014a,COMPARING TEXT-BASED AND DEPENDENCE-BASED APPROACHES FOR DETERMINING THE ORIGINS OF BUGS,"dentifying bug origins – the point where erroneous code was introduced – is crucial for many software engineering activities, from identifying process weaknesses to gathering data to support bug detection tools. Unfortunately, this information is not usually recorded when fixing bugs, and recovering it later is challenging. Recently, the text approach and the dependence approach have been developed to tackle this problem. Respectively, they examine textual and dependence-related changes that occurred prior to a bug fix. However, only limited evaluation has been carried out, partially because of a lack of available implementations and of datasets linking bugs to origins. To address this, origins of 174 bugs in three projects were manually identified and compared to a simulation of the approaches. Both approaches were partially successful across a variety of bugs – achieving 29–79% precision and 40–70% recall. Results suggested the precise definition of program dependence could affect performance, as could whether the approaches identified a single or multiple origins. Some potential improvements are explored in detail and identify pragmatic strategies for combining techniques along with simple modifications. Even after adopting these improvements, there remain many challenges: large commits, unrelated changes and long periods between origins and fixes all reduce effectiveness. Copyright © 2013 John Wiley & Sons, Ltd.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,Não,O artigo faz comparações de técnicas existentes.
20/10/2016 23:59:41,Koopaei:2015:CAD:2886444.2886474,CRASHAUTOMATA: AN APPROACH FOR THE DETECTION OF DUPLICATE CRASH REPORTS BASED ON GENERALIZABLE AUTOMATA,"Crash reporting systems are useful tools that allow users to report system failures, subsequently contacting the appropriate support group for resolution. As a software system grows and becomes more versatile, the number of crashes increases. A large software company receives typically thousands of crashes a day, which make it difficult for software engineers to address these reports in a timely manner. Fortunately, not all reports are new; many of them are duplicates of previously reported crashes. Research has shown that early detection of duplicate reports can reduce the effort and time it takes to handle crash reports. In this paper, we propose a new approach for detecting duplicate crash reports, called CrashAutomata. CrashAutomata builds a model from historical crash reports (more precisely their stack traces) that is used to classify an incoming report. The model is based on varied-length n-grams and automata. Unlike existing techniques, CrashAutomata takes advantage of the generalization aspect of automata, making it possible to build a representative model of crash reports, reducing the number of false positives. When applied to crash reports of the Firefox system, CrashAutomata results in very high precision and recall. It also outperforms CrashGraph, a leading technique in the detection of duplicate crash reports.","Mining  bug  repositories,  Duplicate  bug  reports,  Automata-based 
Modeling, Software maintenance.","In this paper, we propose a new approach for detecting duplicate crash reports, called CrashAutomata. CrashAutomata builds a model from historical crash reports (more precisely their stack traces) that is used to classify an incoming report. The model is based on varied-length n-grams and automata. Unlike existing techniques, CrashAutomata takes advantage of the generalization aspect of automata, making it possible to build a representative model of crash reports, reducing the number of false positives. When applied to crash reports of the Firefox system, CrashAutomata results in very high precision and recall. It also outperforms CrashGraph, a leading technique in the detection of duplicate crash reports.","Agendador, Desenvolvedor",Keyword-basead,N-Grama,automata,Bugzilla,Sim,Não,Sim,
01/12/2016 00:22:50,Banitaan2013,DECOBA: UTILIZING DEVELOPERS COMMUNITIES IN BUG ASSIGNMENT,"Bug Tracking System (BTS) is public ally accessible which enables geographically distributed developers to follow the work of each other and contribute in bug fixing. Developer interactions through commenting on bug reports generate a developer social network that can be used to improve software development and maintenance activities. In large scale complex software projects, software maintenance requires larger groups to participate in its activities. Most previous bug assignments approaches assign only one developer to new bugs. However, bug fixing is a collaborative effort between several developers (i.e., many developers contribute their experience in fixing a bug report). In this work, we build developers social networks based on developers comments on bug reports and detect developers communities. We also assign a relevant community to each newly committed bug report. Moreover, we rank developers in each community based on their experience. An experimental evaluation is conducted on three open source projects namely Net Beans, Free desktop, and Mandriva. The results show that the detected communities are significantly connected with high density. They also show that the proposed approach achieves feasible accuracy of bug assignment.","Developer Ranking, Developers Social Network, Community Detection, Bug Report Assignment ",Processo de atribuição de bugs para um grupo de usário ao invés de um único desenvolvedor. They also show that the proposed approach achieves feasible accuracy of bug assignment.,"Agendador, Desenvolvedor",N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
01/12/2016 00:27:59,Prifti2011,DETECTING BUG DUPLICATE REPORTS THROUGH LOCAL REFERENCES,"Background: Bug Tracking Repositories, such as Bugzilla, are designed to support fault reporting for developers, testers and users of the system. Allowing anyone to contribute finding and reporting faults has an immediate impact on software quality. However, this benefit comes with at least one side-effect. Users often file reports that describe the same fault. This increases the maintainer's triage time, but important information required to fix the fault is likely contributed by different reports. Aim: The objective of this paper is twofold. First, we want to understand the dynamics of bug report filing for a large, long duration open source project, Firefox. Second, we present a new approach that can reduce the number of duplicate reports. Method: The novel element in the proposed approach is the ability to concentrate the search for duplicates on specific portions of the bug repository. Our system can be deployed as a search tool to help reporters query the repository. Results: When tested as a search tool our system is able to detect up to 53% of duplicate reports. Conclusion: The performance of Information Retrieval techniques can be significantly improved by guiding the search for duplicates. This approach results in higher detection rates and constant classification runtime. Copyright © 2011 ACM.",Bug Duplication,reduce the number of duplicate reports,"Agendador, Desenvolvedor",N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
01/12/2016 00:34:08,Xuan:2012:DPB:2337223.2337227,DEVELOPER PRIORITIZATION IN BUG REPOSITORIES,"Developers build all the software artifacts in development. Existing work has studied the social behavior in software repositories. In one of the most important software repositories, a bug repository, developers create and update bug reports to support software development and maintenance. However, no prior work has considered the priorities of developers in bug repositories. In this paper, we address the problem of the developer prioritization, which aims to rank the contributions of developers. We mainly explore two aspects, namely modeling the developer prioritization in a bug repository and assisting predictive tasks with our model. First, we model how to assign the priorities of developers based on a social network technique. Three problems are investigated, including the developer rankings in products, the evolution over time, and the tolerance of noisy comments. Second, we consider leveraging the developer prioritization to improve three predicted tasks in bug repositories, i.e., bug triage, severity identification, and reopened bug prediction. We empirically investigate the performance of our model and its applications in bug repositories of Eclipse and Mozilla. The results indicate that the developer prioritization can provide the knowledge of developer priorities to assist software tasks, especially the task of bug triage","reopened bug prediction, developer prioritization, software evolution, bug triage, severity identification",to rank the contributions of developers,Agendador,N/A,N/A,N/A,Bugzilla,Sim,Não,Sim,
01/12/2016 00:38:51,Wu2011,DREX: DEVELOPER RECOMMENDATION WITH K-NEAREST-NEIGHBOR SEARCH AND EXPERTISE RANKING,"This paper proposes a new approach called DREX (Developer Recommendation with k-nearest-neighbor search and Expertise ranking) to developer recommendation for bug resolution based on K-Nearest-Neighbor search with bug similarity and expertise ranking with various metrics, including simple frequency and social network metrics. We collect Mozilla Fire fox open bug repository as the experimental data set and compare different ranking metrics on the performance of recommending capable developers for bugs. Our experimental results demonstrate that, when recommending 10 developers for each one of the 250 testing bugs, DREX has produced better performance than traditional methods with multi-labeled text categorization. The best performance obtained by two metrics as Out-Degree and Frequency, is with recall as 0.6 on average. Moreover, other social network metrics such as Degree and Page Rank have produced comparable performance on developer recommendation as Frequency when used for developer expertise ranking."," Expertise Ranking, Open Bug Repository, Developer Recommendation, KNN Search"," developer recommendation for bug resolution based on K-Nearest-Neighbor search with bug similarity and expertise ranking with various metrics, including simple frequency and social network metrics",Agendador,Degree and Page Rank ,Degree and Page Rank ,Degree and Page Rank ,Bugzilla,Sim,Não,Sim,
01/12/2016 00:45:13,Tian:2013:DPP:2550526.2550574,DRONE: PREDICTING PRIORITY OF REPORTED BUGS BY MULTI-FACTOR ANALYSIS,"Bugs are prevalent. To improve software quality, developers often allow users to report bugs that they found using a bug tracking system such as Bugzilla. Users would specify among other things, a description of the bug, the component that is affected by the bug, and the severity of the bug. Based on this information, bug triagers would then assign a priority level to the reported bug. As resources are limited, bug reports would be investigated based on their priority levels. This priority assignment process however is a manual one. Could we do better? In this paper, we propose an automated approach based on machine learning that would recommend a priority level based on information available in bug reports. Our approach considers multiple factors, temporal, textual, author, related-report, severity, and product, that potentially affect the priority level of a bug report. These factors are extracted as features which are then used to train a discriminative model via a new classification algorithm that handles ordinal class labels and imbalanced data. Experiments on more than a hundred thousands bug reports from Eclipse show that we can outperform baseline approaches in terms of average F-measure by a relative improvement of 58.61%."," Feature extraction, Computer bugs, Training, Linear regression, Standards, Software systems, Engines"," we propose an automated approach based on machine learning that would recommend a priority level based on information available in bug reports. Our approach considers multiple factors, temporal, textual, author, related-report, severity, and product, that potentially affect the priority level of a bug report. ",Agendador,Keyword-basead,Stream of characters,With Learning | Neural network,Bugzilla,Sim,Não,Sim,
01/12/2016 00:50:12,Thung2014,DUPFINDER: INTEGRATED TOOL SUPPORT FOR DUPLICATE BUG REPORT DETECTION,"To track bugs that appear in a software, developers often make use of a bug tracking system. Users can report bugs that they encounter in such a system. Bug reporting is inherently an uncoordinated distributed process though and thus when a user submits a new bug report, there might be cases when another bug report describing exactly the same problem is already present in the system. Such bug reports are duplicate of each other and these duplicate bug reports need to be identified. A number of past studies have proposed a number of automated approaches to detect duplicate bug reports. However, these approaches are not integrated to existing bug tracking systems. In this paper, we propose a tool named DupFinder, which implements the state-of-theart unsupervised duplicate bug report approach by Runeson et al., as a Bugzilla extension. DupFinder does not require any training data and thus can easily be deployed to any project. DupFinder extracts texts from summary and description fields of a new bug report and recent bug reports present in a bug tracking system, uses vector space model to measure similarity of bug reports, and provides developers with a list of potential duplicate bug reports based on the similarity of these reports with the new bug report. We have released DupFinder as an open source tool in GitHub, which is available at: uhttps://github.com/smagsmu/dupfinder. © 2014 ACM.",Bugzilla;  Duplicate  bug  reports;  Integrated tool suppor,"we propose a tool named DupFinder, which implements the state-of-theart unsupervised duplicate bug report approach by Runeson et al., as a Bugzilla extension. DupFinder does not require any training data and thus can easily be deployed to any project. ugzilla;  Duplicate  bug  reports;  Integrated
tool suppor","Reportador, Agendador",Keyword-basead,Vector space,With Logic | Algebra,Bugzilla,Sim,Sim,Sim,
